Recency,Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,AvgQuantityPerTransaction,CustomerTenureDays,FirstPurchaseDaysAgo,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,AvgProductsPerTransaction,NegativeQuantityCount,ZeroPriceCount,ReturnRatio,Age,SupportTicketsCount,SatisfactionScore,AgeCategory,SpendingCategory,PreferredTimeOfDay,ChurnRiskCategory,BasketSizeCategory,Churn,IsOutlier,RegYear,RegMonth,RegDay,RegWeekday,RegQuarter,AccountAgeDays,AvgBasketValue,TenureRatio,IsPrivateIP,CustomerType_Hyperactif,CustomerType_Nouveau,CustomerType_Occasionnel,CustomerType_Régulier,FavoriteSeason_Automne,FavoriteSeason_Hiver,FavoriteSeason_Printemps,FavoriteSeason_Été,Region_Europe continentale,Region_UK,WeekendPreference_Inconnu,WeekendPreference_Semaine,ProductDiversity_Explorateur,ProductDiversity_Spécialisé,Gender_F,Gender_M,Gender_Unknown,AccountStatus_Active,AccountStatus_Closed,AccountStatus_Pending,AccountStatus_Suspended,PreferredDayOfWeek_sin,PreferredDayOfWeek_cos,PreferredHour_cos,PreferredMonth_sin,PreferredMonth_cos
302.0,35.0,5288.630000000001,16.950737179487184,13.603661689116102,5.426282051282051,71.0,374,0.0,0.2218649517684887,24,0.6857142857142857,15,0,0.048076923076923,58,1.0,4.0,6,3,0,3,1,1,1,2010,7,17,5,3,531,151.10371428571432,4.253521126760563,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.43388373911755823,-0.900968867902419,-0.7071067811865475,-2.4492935982947064e-16,1.0
32.0,18.0,3079.1,15.70969387755102,11.6847688239824,6.913265306122449,342.0,374,0.1683673469387755,1.7179487179487178,106,5.888888888888889,24,0,0.1224489795918367,71,3.0,4.0,6,3,1,1,1,0,0,2010,10,4,0,4,452,171.0611111111111,0.0935672514619883,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,-0.9659258262890683,-0.8660254037844386,0.5000000000000001
3.0,18.0,7187.34,28.634820717131475,23.15013187581723,19.95617529880478,370.0,374,0.0557768924302788,1.456,115,6.388888888888889,4,0,0.0159362549800796,46,2.0,5.0,3,3,1,0,2,0,0,2009,9,12,5,3,839,399.2966666666667,0.008108108108108109,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-1.0,-0.5000000000000004,0.8660254037844384
96.0,5.0,948.25,33.86607142857142,42.95311926234322,15.678571428571429,278.0,374,0.0,10.25925925925926,24,4.8,0,0,0.0,32,2.0,2.0,1,2,0,3,2,1,0,2010,1,28,3,1,701,189.65,0.34532374100719426,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-0.7071067811865475,-1.0,-1.8369701987210297e-16
330.0,6.0,635.1,105.85,215.9862634521001,9.666666666666666,43.0,374,0.0,8.2,1,0.1666666666666666,3,0,0.5,56,2.0,1.0,6,2,0,3,1,1,1,2009,12,10,3,4,750,105.85000000000001,7.674418604651163,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,-0.7071067811865475,-2.4492935982947064e-16,1.0
26.0,20.0,4596.51,42.16981651376147,49.09086065619568,19.027522935779817,348.0,374,0.1651376146788991,3.1481481481481484,63,3.15,6,0,0.055045871559633,25,2.0,5.0,1,3,2,0,2,0,0,2010,10,18,0,4,438,229.8255,0.07471264367816093,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.49999999999999994,0.8660254037844387
8.0,27.0,5107.38,14.226685236768802,23.64446978200517,8.974930362116991,366.0,374,0.0,0.9972067039106144,148,5.481481481481482,32,0,0.0891364902506963,78,3.0,2.0,5,3,1,0,1,0,1,2010,11,2,1,4,423,189.16222222222223,0.02185792349726776,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-1.0,-2.4492935982947064e-16,1.0
16.0,15.0,4627.62,72.3065625,142.20644033836976,31.484375,357.0,374,0.0,5.587301587301587,47,3.1333333333333333,3,0,0.046875,38,2.0,2.0,2,3,2,0,2,0,0,2010,12,17,4,4,378,308.508,0.04481792717086835,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.433883739117558,-0.9009688679024191,-0.7071067811865479,-0.8660254037844386,0.5000000000000001
1.0,118.0,59419.34,23.85360899237254,46.625077317700935,15.14251304696909,373.0,374,0.0397430750702529,0.1285140562248996,571,4.838983050847458,112,0,0.0449618627057406,55,1.0,3.0,6,3,1,0,2,0,1,2010,9,23,3,3,463,503.5537288135593,0.002680965147453083,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.7818314824680298,0.6234898018587336,-0.9659258262890683,0.49999999999999994,0.8660254037844387
3.0,86.0,7711.38,7.627477744807122,9.759291387411546,2.026706231454006,371.0,374,0.049455984174085,0.3336633663366337,331,3.8488372093023258,39,0,0.0385756676557863,75,2.0,1.0,5,3,1,0,0,0,1,2010,9,4,5,3,482,89.66720930232559,0.008086253369272238,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.9749279121818236,-0.22252093395631434,-1.0,-2.4492935982947064e-16,1.0
